Id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,color
1784, S-MAX,2017,16250,Manual,36500,Diesel,125,56.5,2.0,silver
1785, Focus,2017,13850,Manual,40500,Diesel,20,67.3,2.0,green
1786, Focus,2018,19995,Manual,12195,Petrol,145,41.5,2.0,green
1787, Edge,2016,17500,Manual,28366,Diesel,160,48.7,2.0,red
1788, Focus,2018,15250,Manual,21500,Diesel,145,74.3,1.5,white
1789, Fiesta,2018,11750,Manual,6000,Petrol,145,65.7,1.0,yellow
1790, Fiesta,2014,8498,Semi-Auto,17030,Petrol,150,47.9,1.6,blue
1791, Focus,2017,10998,Manual,28434,Diesel,145,74.3,1.5,white
1792, Fiesta,2016,7798,Manual,56459,Petrol,0,65.7,1.0,gray
1793, Kuga,2017,17500,Automatic,12200,Diesel,145,54.3,2.0,white
1794, Mustang,2018,29000,Automatic,11475,Petrol,145,28.8,2.3,silver
1795, Focus,2017,9998,Manual,27014,Petrol,20,60.1,1.0,silver
1796, Focus,2017,12498,Manual,12705,Petrol,20,60.1,1.0,blue
1797, Focus,2015,7498,Manual,54701,Diesel,20,67.3,1.6,gray
1798, Kuga,2017,13498,Manual,3150,Petrol,150,45.6,1.5,orange
1799, Fiesta,2019,11998,Manual,2269,Petrol,150,48.7,1.1,red
1800, Kuga,2018,17498,Manual,9668,Diesel,150,64.2,1.5,white
1801, Tourneo Custom,2016,16998,Manual,25108,Diesel,200,44.8,2.0,black
1802, Tourneo Custom,2016,17998,Manual,30010,Diesel,235,44.1,2.0,gray
1803, Fiesta,2018,12995,Manual,11340,Petrol,145,62.8,1.0,white
1804, Ka+,2018,7300,Manual,20245,Petrol,145,57.7,1.2,yellow
1805, Focus,2018,17250,Manual,24185,Petrol,145,41.5,2.0,red
1806, Focus,2019,18900,Automatic,9022,Petrol,145,50.4,1.0,yellow
1807, B-MAX,2017,10250,Manual,17500,Petrol,145,57.7,1.0,red
1808, Ka+,2017,7300,Manual,15901,Petrol,145,57.7,1.2,black
1809, Focus,2017,10250,Manual,18421,Petrol,145,61.4,1.0,orange
1810, Grand Tourneo Connect,2019,18500,Manual,542,Diesel,145,61.4,1.5,orange
1811, Ka+,2019,10940,Manual,6,Petrol,145,43.5,1.2,red
1812, S-MAX,2018,21250,Manual,8662,Diesel,145,56.5,2.0,green
1813, Kuga,2018,16695,Manual,21189,Diesel,145,60.1,2.0,yellow
1814, Fiesta,2018,8800,Manual,4065,Petrol,145,64.2,1.1,white
1815, Focus,2018,18500,Manual,12135,Diesel,145,67.3,2.0,gray
1816, Fiesta,2018,10500,Manual,6636,Petrol,145,65.7,1.0,blue
1817, Focus,2017,15750,Manual,34980,Petrol,200,41.5,2.0,gray
1818, Fiesta,2017,11450,Manual,5551,Petrol,20,62.8,1.0,black
1819, Fiesta,2017,10400,Manual,17542,Petrol,20,62.8,1.0,green
1820, Fiesta,2017,8000,Manual,25219,Petrol,145,54.3,1.2,silver
1821, Fiesta,2017,11300,Manual,13931,Petrol,145,65.7,1.0,red
1822, Focus,2018,11300,Manual,13673,Petrol,145,61.4,1.0,orange
1823, Kuga,2016,14500,Manual,22775,Diesel,145,54.3,2.0,black
1824, Kuga,2019,17500,Manual,11902,Petrol,145,34.4,1.5,black
1825, Kuga,2019,18750,Manual,10800,Diesel,145,54.3,1.5,black
1826, Mustang,2018,28750,Semi-Auto,6234,Petrol,145,28.8,2.3,orange
1827, Focus,2019,27995,Manual,7725,Petrol,145,34.5,2.3,blue
1828, Fiesta,2016,7500,Manual,24987,Petrol,125,54.3,1.2,white
1829, EcoSport,2018,14000,Manual,16092,Petrol,145,54.3,1.0,yellow
1830, EcoSport,2018,15500,Manual,15541,Petrol,145,54.3,1.0,white
1831, Focus,2013,6800,Manual,20600,Petrol,145,47.9,1.6,blue
1832, Fiesta,2019,13000,Manual,13246,Petrol,145,58.9,1.0,red
1833, Fiesta,2015,10500,Manual,4927,Petrol,0,65.7,1.0,gray
1834, Fiesta,2017,10400,Manual,15517,Petrol,145,65.7,1.0,yellow
1835, Kuga,2017,15450,Manual,12129,Diesel,145,60.1,2.0,red
1836, Fiesta,2018,11200,Manual,12882,Petrol,145,65.7,1.0,red
1837, Kuga,2017,14250,Manual,19596,Diesel,145,60.1,2.0,gray
1838, Fiesta,2017,10495,Manual,15206,Petrol,145,65.7,1.0,white
1839, Kuga,2017,15500,Manual,12138,Diesel,145,60.1,2.0,silver
1840, Focus,2018,13600,Manual,16960,Petrol,145,57.7,1.0,orange
1841, Focus,2018,15000,Manual,16495,Diesel,145,80.7,1.5,white
1842, Focus,2019,16500,Manual,11958,Diesel,145,80.7,1.5,green
1843, Kuga,2018,24250,Automatic,14875,Diesel,145,42.2,2.0,white
1844, Focus,2018,17750,Automatic,11321,Diesel,145,67.3,1.5,white
1845, Focus,2019,16000,Manual,3132,Diesel,145,80.7,1.5,gray
1846, Kuga,2019,19350,Manual,8114,Diesel,145,36.7,2.0,blue
1847, S-MAX,2018,19750,Manual,19896,Diesel,145,56.5,2.0,silver
1848, Kuga,2019,17400,Manual,10631,Petrol,145,34.4,1.5,gray
1849, Focus,2015,8500,Manual,39580,Diesel,0,74.3,1.5,yellow
1850, Focus,2015,8000,Manual,44429,Diesel,0,74.3,1.5,blue
1851, Focus,2016,9698,Manual,28648,Diesel,0,74.3,1.5,yellow
1852, Fiesta,2015,7498,Manual,27758,Petrol,125,54.3,1.2,green
1853, Focus,2018,12998,Manual,18661,Petrol,145,57.7,1.0,green
1854, Focus,2018,13998,Manual,11287,Petrol,145,57.7,1.0,red
1855, S-MAX,2016,15298,Manual,40106,Diesel,125,56.5,2.0,black
1856, Focus,2016,16498,Manual,23599,Petrol,200,41.5,2.0,blue
1857, Fiesta,2017,9998,Manual,17227,Petrol,145,65.7,1.0,orange
1858, Focus,2015,8998,Manual,49105,Diesel,0,74.3,1.5,blue
1859, Grand C-MAX,2013,7698,Manual,36101,Diesel,125,60.1,1.6,silver
1860, Kuga,2016,13295,Manual,22441,Diesel,125,60.1,2.0,yellow
1861, EcoSport,2015,8298,Manual,32020,Petrol,125,53.3,1.0,blue
1862, Fiesta,2016,9798,Manual,24631,Petrol,0,65.7,1.0,green
1863, Fiesta,2016,8298,Manual,26039,Petrol,0,65.7,1.0,orange
1864, Fiesta,2016,8698,Manual,28333,Petrol,0,65.7,1.0,gray
1865, Focus,2018,19998,Manual,12234,Petrol,145,41.5,2.0,silver
1866, Focus,2018,12898,Manual,22015,Petrol,145,57.7,1.0,white
1867, Edge,2016,17800,Manual,29808,Diesel,160,48.7,2.0,silver
1868, Kuga,2019,17150,Manual,16120,Diesel,145,38.2,2.0,green
1869, Fiesta,2018,11200,Semi-Auto,27301,Petrol,145,54.3,1.0,blue
1870, Focus,2016,8000,Manual,58774,Diesel,0,74.3,1.5,black
1871, Fiesta,2019,11798,Manual,4220,Petrol,150,48.7,1.1,blue
1872, Focus,2017,12798,Manual,18632,Diesel,145,74.3,1.5,red
1873, Fiesta,2019,11998,Manual,18659,Petrol,145,56.5,1.0,orange
1874, Kuga,2016,15998,Manual,20334,Diesel,145,54.3,2.0,black
1875, EcoSport,2019,15498,Manual,2594,Petrol,145,53.3,1.0,black
1876, Focus,2017,10698,Manual,32701,Diesel,145,74.3,1.5,orange
1877, Kuga,2017,12998,Manual,40758,Diesel,125,60.1,2.0,black
1878, Fiesta,2013,5998,Manual,33614,Diesel,0,76.4,1.5,yellow
1879, Fiesta,2017,7298,Manual,22444,Petrol,145,54.3,1.2,orange
1880, Kuga,2017,16798,Manual,38022,Diesel,145,54.3,2.0,gray
1881, Fiesta,2019,13998,Manual,10616,Petrol,145,58.9,1.0,green
1882, Focus,2019,14498,Manual,13235,Petrol,145,58.9,1.0,green
1883, Focus,2019,16598,Manual,12560,Petrol,145,41.5,1.0,white
1884, Fiesta,2017,7820,Manual,16782,Petrol,125,54.3,1.2,yellow
1885, Focus,2017,16730,Manual,16447,Diesel,145,67.3,2.0,red
1886, Fiesta,2013,7830,Semi-Auto,26964,Petrol,145,47.9,1.6,orange
1887, Tourneo Custom,2018,19776,Manual,36199,Diesel,145,44.8,2.0,gray
1888, Kuga,2016,13480,Semi-Auto,33400,Diesel,145,52.3,2.0,silver
1889, Fiesta,2016,8600,Manual,18316,Petrol,125,54.3,1.2,silver
1890, Fiesta,2016,9700,Manual,8854,Petrol,125,54.3,1.2,green
1891, Fiesta,2016,8691,Manual,37942,Diesel,0,78.5,1.5,gray
1892, Focus,2019,19298,Automatic,2997,Diesel,145,64.2,2.0,blue
1893, Focus,2019,16998,Manual,18875,Petrol,145,60.1,1.0,white
1894, Focus,2018,19500,Manual,9758,Petrol,145,41.5,2.0,silver
1895, Fiesta,2017,9300,Manual,14350,Petrol,145,64.2,1.1,silver
1896, Focus,2017,18750,Manual,10080,Petrol,145,41.5,2.0,blue
1897, Fiesta,2017,9600,Manual,12946,Petrol,145,64.2,1.1,black
1898, Fiesta,2017,7800,Manual,15800,Petrol,145,54.3,1.2,blue
1899, Fiesta,2017,7750,Manual,32344,Petrol,125,54.3,1.2,white
1900, Kuga,2017,16750,Semi-Auto,20878,Diesel,145,54.3,2.0,white
1901, Focus,2018,12000,Manual,12547,Petrol,145,61.4,1.0,yellow
1902, Focus,2017,11500,Manual,22241,Petrol,145,60.1,1.0,black
1903, Fiesta,2016,10498,Manual,15728,Petrol,0,65.7,1.0,red
1904, Focus,2019,16998,Manual,12526,Petrol,145,60.1,1.0,yellow
1905, Focus,2017,10498,Manual,30589,Diesel,145,74.3,1.5,silver
1906, Tourneo Connect,2017,12998,Manual,5094,Diesel,145,64.2,1.5,yellow
1907, EcoSport,2016,8798,Manual,25232,Diesel,30,64.2,1.5,blue
1908, EcoSport,2016,10998,Semi-Auto,11321,Petrol,160,44.8,1.5,silver
1909, B-MAX,2013,5298,Manual,50919,Petrol,145,47.1,1.4,yellow
1910, Edge,2016,18995,Semi-Auto,15727,Diesel,160,48.7,2.0,gray
1911, Focus,2015,9495,Manual,23583,Petrol,20,60.1,1.0,black
1912, Kuga,2015,9895,Manual,49449,Diesel,125,60.1,2.0,red
1913, Edge,2018,20795,Semi-Auto,26602,Diesel,145,48.7,2.0,white
1914, Kuga,2014,8795,Manual,56989,Diesel,145,53.3,2.0,orange
1915, Focus,2017,12495,Semi-Auto,22354,Diesel,30,64.2,2.0,green
1916, S-MAX,2016,14995,Manual,32223,Diesel,125,56.5,2.0,black
1917, Fiesta,2016,8998,Manual,6146,Petrol,125,54.3,1.2,green
1918, Mondeo,2015,8600,Manual,50758,Diesel,30,64.2,2.0,silver
1919, Fiesta,2018,9780,Manual,8829,Petrol,145,55.4,1.1,yellow
1920, EcoSport,2017,8995,Manual,25152,Petrol,150,52.3,1.0,green
1921, Fiesta,2019,12995,Manual,12420,Petrol,150,65.7,1.0,orange
1922, Fiesta,2019,12995,Manual,12239,Petrol,150,65.7,1.0,silver
1923, Fiesta,2019,12995,Manual,11808,Petrol,150,60.1,1.0,silver
1924, Ka+,2018,7995,Manual,14459,Petrol,150,47.9,1.2,blue
1925, Kuga,2017,16698,Manual,16500,Diesel,145,64.2,1.5,black
1926, Fiesta,2014,6498,Manual,32303,Petrol,30,54.3,1.2,white
1927, Ka+,2017,7298,Manual,17517,Petrol,145,57.7,1.2,red
1928, Fiesta,2016,10498,Manual,16389,Petrol,0,65.7,1.0,black
1929, Focus,2015,8395,Manual,58500,Diesel,0,74.3,1.5,silver
1930, Fiesta,2017,10000,Manual,25243,Petrol,145,65.7,1.0,blue
1931, Ka+,2017,7311,Manual,9778,Petrol,145,57.7,1.2,orange
1932, EcoSport,2018,12000,Manual,13955,Petrol,145,53.3,1.0,black
1933, Focus,2018,15395,Manual,9129,Petrol,145,60.1,1.0,red
1934, Focus,2016,25000,Manual,10008,Petrol,235,36.7,2.3,blue
1935, Focus,2016,13000,Manual,37605,Diesel,20,67.3,2.0,yellow
1936, Grand Tourneo Connect,2016,13000,Automatic,29000,Diesel,125,56.6,1.5,yellow
1937, Focus,2019,16998,Manual,23178,Petrol,145,60.1,1.0,gray
1938, Fiesta,2014,7298,Manual,30773,Petrol,30,54.3,1.2,red
1939, Focus,2017,10998,Manual,18291,Diesel,0,74.3,1.5,black
1940, Fiesta,2017,7998,Manual,42044,Petrol,145,64.2,1.1,blue
1941, Fiesta,2019,12498,Manual,15997,Petrol,145,58.9,1.0,green
1942, Fiesta,2013,5198,Manual,37868,Petrol,30,54.3,1.2,black
1943, Focus,2019,16998,Manual,14907,Petrol,145,60.1,1.0,silver
1944, Fiesta,2018,10888,Manual,2280,Petrol,145,58.9,1.0,silver
1945, Fiesta,2014,6990,Manual,29101,Petrol,0,65.7,1.0,black
1946, Focus,2016,9690,Manual,27708,Petrol,20,60.1,1.0,gray
1947, Focus,2019,15495,Manual,17325,Petrol,150,60.1,1.0,white
1948, Galaxy,2017,19995,Manual,20488,Diesel,125,56.5,2.0,red
1949, Focus,2016,11999,Manual,15002,Petrol,125,51.4,1.5,orange
1950, Kuga,2017,14000,Manual,27711,Diesel,145,64.2,1.5,white
1951, Kuga,2017,12398,Manual,20800,Diesel,145,64.2,1.5,blue
1952, Ka+,2019,10950,Manual,6,Petrol,145,43.5,1.2,orange
1953, Fiesta,2017,7365,Manual,26858,Petrol,145,54.3,1.2,yellow
1954, Fiesta,2017,8374,Manual,17226,Petrol,145,54.3,1.2,blue
1955, EcoSport,2017,9815,Manual,20000,Petrol,145,52.3,1.0,black
1956, Fiesta,2015,7678,Manual,16023,Petrol,125,54.3,1.2,silver
1957, Fiesta,2018,9090,Manual,17200,Petrol,145,64.2,1.1,red
1958, Focus,2017,9498,Manual,50875,Diesel,0,74.3,1.5,green
1959, Focus,2013,5390,Manual,60326,Diesel,20,67.3,1.6,yellow
1960, Fiesta,2017,10870,Manual,22648,Diesel,0,78.5,1.5,blue
1961, Kuga,2017,19990,Automatic,13128,Diesel,145,54.3,2.0,orange
1962, Focus,2015,8160,Manual,63117,Diesel,0,74.3,1.5,black
1963, Grand Tourneo Connect,2019,14998,Manual,11500,Diesel,150,46.3,1.5,yellow
1964, Kuga,2019,14995,Manual,20605,Diesel,145,54.3,1.5,blue
1965, Kuga,2016,12750,Manual,29963,Diesel,145,54.3,2.0,black
1966, Kuga,2019,17995,Manual,10491,Diesel,145,38.2,2.0,green
1967, Fiesta,2018,7999,Manual,30800,Petrol,145,64.2,1.1,green
1968, Fiesta,2014,5622,Manual,54770,Petrol,30,54.3,1.2,green
1969, S-MAX,2019,21673,Manual,13490,Diesel,145,56.5,2.0,black
1970, Kuga,2019,17800,Manual,16691,Petrol,145,35.3,1.5,yellow
1971, Kuga,2019,17865,Manual,10768,Diesel,145,38.2,2.0,orange
1972, Fiesta,2019,12900,Manual,12128,Petrol,145,58.9,1.0,blue
1973, Focus,2017,10882,Manual,12094,Petrol,145,61.4,1.0,orange
1974, Focus,2018,13000,Manual,15462,Petrol,145,57.7,1.0,white
1975, Kuga,2017,12500,Manual,8816,Diesel,145,64.2,1.5,red
1976, Fiesta,2016,10175,Manual,7917,Petrol,0,65.7,1.0,white
1977, Kuga,2017,14687,Manual,16551,Diesel,145,64.2,1.5,black
1978, Fiesta,2017,8400,Manual,14448,Petrol,145,54.3,1.2,red
1979, B-MAX,2014,6940,Manual,41628,Petrol,30,57.7,1.0,blue
1980, KA,2015,4810,Manual,15155,Petrol,30,57.7,1.2,black
1981, Fiesta,2016,7580,Manual,33056,Petrol,125,54.3,1.2,white
1982, Focus,2016,9157,Manual,9971,Petrol,20,61.4,1.0,silver
1983, Fiesta,2019,10995,Manual,6928,Petrol,145,55.4,1.1,black
1984, Fiesta,2019,12995,Manual,8,Petrol,145,55.4,1.1,black
1985, Fiesta,2019,12995,Manual,7,Petrol,145,55.4,1.1,silver
1986, Focus,2019,29495,Manual,4430,Petrol,145,34.5,2.3,white
1987, Kuga,2016,12495,Semi-Auto,37877,Diesel,145,52.3,2.0,red
1988, Fiesta,2018,8975,Manual,20884,Petrol,145,65.7,1.0,silver
1989, Kuga,2018,16495,Semi-Auto,6988,Diesel,145,58.9,1.5,gray
1990, Fiesta,2019,11298,Manual,13733,Petrol,145,58.9,1.0,gray
1991, Fiesta,2019,10398,Manual,16114,Petrol,145,55.4,1.1,silver
1992, Fiesta,2019,11298,Manual,13546,Petrol,145,58.9,1.0,blue
1993, Fiesta,2015,6998,Manual,45112,Diesel,0,88.3,1.5,orange
1994, Focus,2017,11498,Semi-Auto,23361,Petrol,145,51.4,1.0,yellow
1995, Kuga,2014,10698,Automatic,57797,Petrol,260,36.7,1.6,orange
1996, Focus,2017,11498,Manual,27307,Petrol,20,60.1,1.0,green
1997, Grand Tourneo Connect,2018,12298,Manual,25546,Diesel,145,61.4,1.5,yellow
1998, Focus,2017,16698,Manual,27542,Diesel,145,67.3,2.0,white
1999, Kuga,2017,16698,Manual,14122,Diesel,125,60.1,2.0,blue
2000, Focus,2019,18998,Manual,2494,Petrol,145,49.6,1.5,black
2001, Fiesta,2019,13598,Manual,10348,Petrol,145,58.9,1.0,black
2002, Focus,2019,22498,Manual,9,Diesel,145,74.3,1.5,blue
2003, Kuga,2019,14995,Manual,18406,Diesel,145,64.2,1.5,gray
2004, S-MAX,2015,13995,Manual,49531,Diesel,145,49.6,2.0,silver
2005, Fiesta,2018,9750,Manual,24788,Petrol,145,65.7,1.0,white
2006, EcoSport,2018,13750,Manual,5338,Petrol,145,54.3,1.0,silver
2007, Kuga,2019,18495,Manual,9902,Diesel,145,47.9,2.0,blue
2008, EcoSport,2019,14995,Manual,15341,Diesel,145,68.9,1.5,white
2009, Fiesta,2019,13498,Manual,13723,Petrol,145,58.9,1.0,green
2010, Focus,2017,9698,Manual,23764,Petrol,145,61.4,1.0,green
2011, Fiesta,2019,19698,Manual,5234,Petrol,145,40.3,1.5,red
2012, Focus,2018,25998,Manual,13847,Petrol,145,58.9,1.0,black
2013, Fiesta,2017,7995,Manual,58535,Diesel,0,78.5,1.5,yellow
2014, Focus,2014,5998,Manual,61889,Petrol,20,60.1,1.0,white
2015, Focus,2017,18498,Manual,12096,Petrol,145,41.5,2.0,gray
2016, Focus,2016,15698,Manual,42060,Petrol,200,41.5,2.0,red
2017, Focus,2019,15990,Manual,8276,Petrol,150,60.1,1.0,gray
2018, Galaxy,2017,17495,Manual,25745,Diesel,125,56.5,2.0,black
2019, Focus,2017,10250,Manual,53457,Diesel,150,74.3,1.5,blue
2020, Kuga,2018,14495,Manual,37127,Diesel,145,64.2,1.5,blue
2021, Fiesta,2017,9295,Manual,22619,Petrol,145,65.7,1.0,silver
2022, Kuga,2015,11495,Manual,29200,Diesel,145,54.3,2.0,green
2023, KA,2014,3495,Manual,50452,Petrol,30,57.7,1.2,orange
2024, C-MAX,2017,9295,Manual,52138,Diesel,150,68.9,1.5,white
2025, EcoSport,2019,13995,Manual,11468,Petrol,150,53.3,1.0,gray
2026, Fiesta,2015,5995,Manual,63305,Petrol,125,54.3,1.2,silver
2027, Focus,2017,16998,Manual,19097,Diesel,20,67.3,2.0,green
2028, Kuga,2017,12498,Manual,37889,Diesel,30,64.2,1.5,gray
2029, C-MAX,2016,11698,Manual,13800,Petrol,30,55.4,1.0,red
2030, Kuga,2018,16998,Manual,11385,Diesel,145,64.2,1.5,yellow
2031, EcoSport,2018,11298,Manual,10421,Petrol,150,52.3,1.0,yellow
2032, Focus,2017,11798,Manual,14772,Diesel,150,74.3,1.5,blue
2033, EcoSport,2017,10298,Manual,17331,Petrol,150,53.3,1.0,yellow
2034, Kuga,2017,14998,Automatic,6829,Petrol,150,38.2,1.5,green
2035, Fiesta,2019,11498,Manual,5262,Petrol,150,48.7,1.1,gray
2036, Focus,2019,16998,Automatic,6521,Petrol,150,50.4,1.0,green
2037, Focus,2019,15995,Manual,12563,Petrol,145,58.9,1.0,orange
2038, Fiesta,2020,14995,Manual,1798,Petrol,145,56.5,1.0,gray
2039, S-MAX,2019,25995,Manual,12369,Diesel,145,54.3,2.0,orange
2040, Fiesta,2018,11698,Manual,5620,Petrol,145,65.7,1.0,orange
2041, Fiesta,2018,10498,Manual,10356,Petrol,145,65.7,1.0,black
2042, Kuga,2015,9498,Manual,32884,Diesel,125,60.1,2.0,yellow
2043, Focus,2018,18498,Manual,26904,Diesel,145,67.3,2.0,black
2044, Focus,2019,16498,Manual,9970,Diesel,145,62.8,2.0,gray
2045, Focus,2019,18998,Manual,36,Petrol,150,60.1,1.0,silver
2046, Fiesta,2013,4698,Manual,69315,Petrol,30,54.3,1.2,green
2047, Focus,2015,7998,Manual,61904,Diesel,0,74.3,1.5,yellow
2048, Fiesta,2015,6698,Manual,36895,Diesel,0,76.4,1.5,white
2049, Fiesta,2016,7698,Manual,33286,Petrol,125,54.3,1.2,silver
2050, Tourneo Connect,2016,13990,Manual,16740,Diesel,30,64.2,1.5,gray
2051, Fiesta,2017,9298,Manual,24252,Petrol,0,65.7,1.0,gray
2052, C-MAX,2016,9498,Manual,17231,Diesel,20,68.9,1.5,white
2053, Focus,2016,9498,Manual,34913,Diesel,0,74.3,1.5,silver
2054, Fiesta,2013,5498,Manual,69990,Petrol,30,54.3,1.2,white
2055, EcoSport,2016,9298,Manual,33540,Petrol,125,53.3,1.0,white
2056, Kuga,2019,18795,Manual,7452,Diesel,145,38.2,2.0,white
2057, EcoSport,2019,15495,Manual,8963,Diesel,145,67.3,1.5,black
2058, Mondeo,2019,14995,Semi-Auto,21156,Diesel,150,45.6,2.0,red
2059, Mondeo,2019,14995,Semi-Auto,23954,Diesel,150,45.6,2.0,white
2060, Mondeo,2019,14795,Semi-Auto,33542,Diesel,150,45.6,2.0,silver
2061, Fiesta,2019,12595,Manual,11086,Diesel,150,55.4,1.5,gray
2062, Ka+,2016,7195,Manual,6777,Petrol,30,57.7,1.2,green
2063, Kuga,2018,17295,Semi-Auto,20308,Diesel,145,58.9,1.5,orange
2064, Kuga,2015,11295,Semi-Auto,43211,Diesel,145,52.3,2.0,red
2065, Fiesta,2018,14995,Manual,16504,Petrol,145,40.3,1.5,blue
2066, Focus,2017,15995,Manual,26929,Diesel,20,67.3,2.0,blue
2067, Kuga,2014,9498,Automatic,51007,Petrol,260,36.7,1.6,yellow
2068, EcoSport,2015,7498,Manual,40975,Diesel,30,61.4,1.5,orange
2069, Focus,2019,14698,Manual,10812,Diesel,150,80.7,1.5,blue
2070, Focus,2019,16998,Automatic,16919,Petrol,150,51.4,1.0,gray
2071, Kuga,2019,19498,Manual,7184,Diesel,150,45.6,1.5,yellow
2072, Focus,2015,8998,Manual,10172,Petrol,20,60.1,1.0,black
2073, Fiesta,2014,5495,Manual,55259,Petrol,30,54.3,1.2,gray
2074, Focus,2015,7795,Semi-Auto,30000,Petrol,165,44.8,1.6,yellow
2075, Fiesta,2018,9995,Manual,14368,Petrol,145,64.2,1.1,yellow
2076, EcoSport,2017,7500,Manual,44430,Petrol,160,44.8,1.5,red
2077, Kuga,2019,17990,Manual,100,Diesel,145,38.2,2.0,red
2078, C-MAX,2018,11000,Manual,15803,Diesel,145,68.9,1.5,blue
2079, EcoSport,2019,15000,Manual,5901,Petrol,145,53.3,1.0,silver
2080, EcoSport,2020,16795,Manual,384,Petrol,145,53.3,1.0,red
2081, Fiesta,2019,10995,Manual,28798,Petrol,145,56.5,1.0,blue
2082, Edge,2017,19995,Semi-Auto,23620,Diesel,160,48.7,2.0,orange
2083, Fiesta,2017,7295,Manual,15649,Petrol,125,54.3,1.2,yellow
2084, Grand C-MAX,2015,10495,Semi-Auto,31221,Diesel,165,48.7,2.0,orange
2085, Fiesta,2014,4295,Manual,72121,Petrol,30,54.3,1.2,green
2086, Fiesta,2018,11350,Manual,20824,Petrol,150,65.7,1.0,blue
2087, Kuga,2019,18300,Manual,9033,Diesel,150,54.3,1.5,red
2088, Focus,2019,15500,Manual,3380,Petrol,150,58.9,1.0,black
2089, Fiesta,2013,6500,Manual,25600,Petrol,30,54.3,1.2,blue
2090, EcoSport,2019,14000,Manual,11334,Petrol,145,53.3,1.0,yellow
2091, Kuga,2019,17990,Manual,1050,Diesel,145,38.2,2.0,green
2092, Kuga,2014,8500,Manual,72000,Diesel,145,53.3,2.0,green
2093, S-MAX,2019,21000,Manual,16461,Diesel,145,56.5,2.0,red
2094, Fiesta,2018,10700,Manual,17247,Petrol,145,65.7,1.0,orange
2095, Grand C-MAX,2018,13000,Manual,13202,Petrol,145,47.1,1.0,silver
2096, Fiesta,2013,6490,Manual,30155,Petrol,30,54.3,1.2,red
2097, S-MAX,2014,12000,Manual,63694,Diesel,145,54.3,1.6,red
2098, Ka+,2018,7800,Manual,7741,Petrol,145,57.7,1.2,orange
2099, Edge,2019,33500,Manual,10,Diesel,145,37.2,2.0,black
2100, Focus,2018,18500,Manual,5297,Diesel,145,57.7,1.5,blue
2101, Ka+,2017,7450,Manual,8621,Petrol,145,57.7,1.2,green
2102, Fiesta,2017,10800,Manual,17594,Petrol,145,65.7,1.0,silver
2103, Ka+,2018,7550,Manual,12010,Petrol,145,57.7,1.2,gray
2104, Focus,2019,15995,Manual,8496,Petrol,150,60.1,1.0,gray
2105, Kuga,2018,13995,Manual,11643,Diesel,150,54.3,1.5,black
2106, C-MAX,2016,9990,Manual,21986,Petrol,30,55.4,1.0,silver
2107, Fiesta,2016,7995,Manual,28694,Petrol,125,54.3,1.2,silver
2108, EcoSport,2019,15750,Manual,9969,Petrol,150,51.4,1.0,orange
2109, Focus,2017,6995,Semi-Auto,87659,Diesel,150,67.3,1.5,yellow
2110, Ka+,2018,7300,Manual,21662,Petrol,145,57.7,1.2,gray
2111, Grand C-MAX,2017,10500,Manual,28958,Diesel,30,64.2,1.5,green
2112, Tourneo Connect,2016,9000,Manual,72777,Diesel,30,64.2,1.5,green
2113, Grand C-MAX,2016,9500,Semi-Auto,52126,Diesel,30,58.9,1.5,gray
2114, Kuga,2017,12000,Manual,30088,Diesel,145,64.2,1.5,green
2115, C-MAX,2017,9000,Manual,33584,Diesel,20,68.9,1.5,yellow
2116, EcoSport,2016,9290,Manual,14004,Petrol,125,53.3,1.0,white
2117, Grand C-MAX,2017,9995,Manual,46391,Petrol,30,54.3,1.0,white
2118, Kuga,2019,16950,Manual,11449,Diesel,150,45.6,1.5,green
2119, Focus,2018,12995,Manual,10727,Petrol,150,57.7,1.0,red
2120, C-MAX,2017,9500,Manual,12408,Diesel,20,68.9,1.5,black
2121, Kuga,2017,11250,Manual,22989,Diesel,30,64.2,1.5,green
2122, EcoSport,2019,14200,Manual,11065,Diesel,145,67.3,1.5,red
2123, Fiesta,2018,11500,Manual,13199,Petrol,145,56.5,1.0,blue
2124, Fiesta,2019,11400,Manual,3874,Petrol,145,58.9,1.0,green
2125, Ka+,2017,6799,Manual,7176,Petrol,145,57.7,1.2,silver
2126, Fiesta,2016,8990,Manual,46000,Petrol,0,65.7,1.0,green
2127, Kuga,2014,9495,Manual,66500,Diesel,200,47.9,2.0,green
2128, Fiesta,2015,6750,Manual,42819,Petrol,0,65.7,1.0,blue
2129, Kuga,2019,16995,Manual,13255,Diesel,145,47.9,2.0,blue
2130, Kuga,2019,16995,Manual,13255,Diesel,145,47.9,2.0,gray
2131, Fiesta,2015,6750,Manual,42819,Petrol,0,65.7,1.0,orange
2132, Kuga,2014,9495,Manual,66500,Diesel,200,47.9,2.0,gray
2133, Kuga,2019,16495,Automatic,13463,Petrol,145,31.0,1.5,green
2134, Kuga,2017,14985,Automatic,17731,Diesel,145,54.3,2.0,green
2135, Kuga,2019,21845,Automatic,6322,Petrol,145,29.1,1.5,gray
2136, Kuga,2017,15000,Manual,24101,Diesel,125,60.1,2.0,blue
2137, Focus,2019,16000,Manual,5000,Petrol,150,58.9,1.0,red
2138, Kuga,2019,20000,Manual,4051,Diesel,150,47.9,2.0,silver
